t,hp,action,ani_state,ani_phase,state_time,task,attacker,foes,foe_d,foe_actions
0.0,200,0,2,5,8.002,PS_Normal,,0,-1,
0.1,200,0,2,5,8.117,PS_Normal,,0,-1,
0.21,200,0,2,5,8.231,PS_Normal,,0,-1,
0.31,200,0,2,5,8.341,PS_Normal,,0,-1,
0.44,200,0,2,5,8.429,PS_Normal,,0,-1,
0.55,200,0,2,5,8.573,PS_Normal,,0,-1,
0.65,200,0,2,5,8.688,PS_Normal,,0,-1,
0.76,200,0,2,5,8.795,PS_Normal,,0,-1,
0.86,200,0,2,5,8.906,PS_Normal,,0,-1,
0.96,200,0,2,5,9.018,PS_Normal,,0,-1,
1.07,200,0,2,5,9.127,PS_Normal,,0,-1,
1.17,200,0,2,5,9.237,PS_Normal,,0,-1,
1.29,200,0,2,5,9.362,PS_Normal,,0,-1,
1.39,200,0,2,5,9.475,PS_Normal,,0,-1,
1.5,200,0,2,5,9.587,PS_Normal,,0,-1,
1.6,200,0,2,5,9.702,PS_Normal,,2,503,122;122
1.74,200,0,2,5,9.844,PS_Normal,,2,503,122;122
1.85,200,0,2,5,9.958,PS_Normal,,2,503,122;122
1.95,200,0,2,5,10.072,PS_Normal,,2,503,122;122
2.06,200,0,2,5,10.185,PS_Normal,,2,503,122;122
2.16,200,0,2,5,10.3,PS_Normal,,2,503,122;122
2.27,200,0,2,5,10.409,PS_Normal,,2,503,122;122
2.38,200,0,2,5,10.517,PS_Normal,,2,503,122;122
2.48,200,0,2,5,10.626,PS_Normal,,2,503,122;122
2.59,200,0,2,5,10.734,PS_Normal,,2,503,122;122
2.69,200,0,2,5,10.846,PS_Normal,,2,503,122;122
2.8,200,0,2,5,10.951,PS_Normal,,2,503,122;122
2.9,200,0,2,5,11.064,PS_Normal,,2,503,122;122
3.01,200,0,2,5,11.17,PS_Normal,,2,503,122;122
3.11,200,0,2,5,11.279,PS_Normal,,2,400,52;52
3.24,200,0,2,5,11.412,PS_Normal,,2,400,52;52
3.34,200,0,2,5,11.516,PS_Normal,,2,400,52;52
3.45,200,0,2,5,11.635,PS_Normal,,2,400,52;52
3.56,200,0,2,5,11.75,PS_Normal,,2,400,52;52
3.66,200,0,2,5,11.862,PS_Normal,,2,400,52;52
3.76,175,26,2,1,0.051,ZS_Stumble,Orc_Warrior_01,2,400,52;52
3.87,175,26,2,1,0.167,ZS_Stumble,Orc_Warrior_01,2,400,52;52
3.98,175,26,2,1,0.272,ZS_Stumble,Orc_Warrior_01,2,400,52;52
4.08,175,0,2,3,0.064,PS_Normal,Orc_Warrior_01,2,400,52;52
4.19,175,0,2,3,0.17,PS_Normal,Orc_Warrior_01,2,400,52;52
4.29,125,26,2,1,0.029,ZS_Stumble,Orc_Warrior_01,2,400,52;52
4.39,125,26,2,1,0.137,ZS_Stumble,Orc_Warrior_01,2,400,52;52
4.49,125,26,2,1,0.252,ZS_Stumble,Orc_Warrior_01,2,400,52;52
4.61,125,0,2,3,0.043,PS_Normal,Orc_Warrior_01,2,400,52;52
4.71,125,0,2,3,0.163,PS_Normal,Orc_Warrior_01,2,163,14;14
4.84,125,0,2,5,0.305,PS_Normal,Orc_Warrior_01,2,163,14;14
4.95,125,0,2,5,0.42,PS_Normal,Orc_Warrior_01,2,163,14;14
5.05,125,0,2,5,0.53,PS_Normal,Orc_Warrior_01,2,163,14;14
5.16,125,0,2,5,0.639,PS_Normal,Orc_Warrior_01,2,163,14;14
5.26,125,0,2,5,0.752,PS_Normal,Orc_Warrior_01,2,163,14;14
5.36,125,0,2,5,0.863,PS_Normal,Orc_Warrior_01,2,163,14;14
5.46,75,0,2,5,0.0,ZS_Stumble,Orc_Warrior_01,2,163,14;14
5.57,75,26,2,1,0.112,ZS_Stumble,Orc_Warrior_01,2,163,14;14
5.67,75,26,2,1,0.227,ZS_Stumble,Orc_Warrior_01,2,163,14;14
5.78,75,0,2,3,0.008,PS_Normal,Orc_Warrior_01,2,163,14;14
5.89,75,0,2,3,0.123,PS_Normal,Orc_Warrior_01,2,163,14;14
5.99,75,0,2,3,0.226,PS_Normal,Orc_Warrior_01,2,163,14;14
