t,hp,action,ani_state,ani_phase,state_time,task,attacker,foes,foe_d,foe_actions
0.0,200,0,2,5,8.92,PS_Normal,,0,-1,
0.1,200,0,2,5,8.92,PS_Normal,,0,-1,
0.21,200,0,2,5,8.92,PS_Normal,,0,-1,
0.31,200,0,2,5,8.92,PS_Normal,,0,-1,
0.42,200,0,2,5,8.92,PS_Normal,,0,-1,
0.53,200,0,2,5,8.92,PS_Normal,,0,-1,
0.64,200,0,2,5,8.92,PS_Normal,,0,-1,
0.74,200,0,2,5,8.92,PS_Normal,,0,-1,
0.85,200,0,2,5,8.92,PS_Normal,,0,-1,
0.96,200,0,2,5,8.92,PS_Normal,,0,-1,
1.07,200,0,2,5,8.92,PS_Normal,,0,-1,
1.17,200,0,2,5,8.92,PS_Normal,,0,-1,
1.27,200,0,2,5,8.92,PS_Normal,,0,-1,
1.38,200,0,2,5,8.92,PS_Normal,,0,-1,
1.49,200,0,2,5,8.92,PS_Normal,,0,-1,
1.6,200,0,2,5,8.92,PS_Normal,,0,-1,
1.74,200,0,2,5,8.92,PS_Normal,,0,-1,
1.84,200,0,2,5,8.92,PS_Normal,,0,-1,
1.95,200,0,2,5,8.92,PS_Normal,,0,-1,
2.05,200,0,2,5,8.92,PS_Normal,,0,-1,
2.16,200,0,2,5,8.92,PS_Normal,,0,-1,
2.27,200,0,2,5,8.92,PS_Normal,,0,-1,
2.37,200,0,2,5,8.92,PS_Normal,,0,-1,
2.48,200,0,2,5,8.92,PS_Normal,,0,-1,
2.58,200,0,2,5,8.92,PS_Normal,,0,-1,
2.69,200,0,2,5,8.92,PS_Normal,,0,-1,
2.8,200,0,2,5,8.92,PS_Normal,,0,-1,
2.9,200,0,2,5,8.92,PS_Normal,,0,-1,
3.01,200,0,2,5,8.92,PS_Normal,,0,-1,
3.12,200,0,2,5,8.92,PS_Normal,,0,-1,
3.27,200,0,2,5,8.92,PS_Normal,,0,-1,
3.38,200,0,2,5,8.92,PS_Normal,,0,-1,
3.49,200,0,2,5,8.92,PS_Normal,,0,-1,
3.6,200,0,2,5,8.92,PS_Normal,,0,-1,
3.71,200,0,2,5,8.92,PS_Normal,,0,-1,
3.82,200,0,2,5,8.92,PS_Normal,,0,-1,
3.92,200,0,2,5,8.92,PS_Normal,,0,-1,
4.04,200,0,2,5,8.92,PS_Normal,,0,-1,
4.14,200,0,2,5,8.92,PS_Normal,,0,-1,
4.25,200,0,2,5,8.92,PS_Normal,,0,-1,
4.36,200,0,2,5,8.92,PS_Normal,,0,-1,
4.47,200,0,2,5,8.92,PS_Normal,,0,-1,
4.58,200,0,2,5,8.92,PS_Normal,,0,-1,
4.69,200,0,2,5,8.92,PS_Normal,,0,-1,
4.82,200,0,2,5,8.92,PS_Normal,,0,-1,
4.93,200,0,2,5,8.92,PS_Normal,,0,-1,
5.04,200,0,2,5,8.92,PS_Normal,,0,-1,
5.15,200,0,2,5,8.92,PS_Normal,,0,-1,
5.26,200,0,2,5,8.92,PS_Normal,,0,-1,
5.36,200,0,2,5,8.92,PS_Normal,,0,-1,
5.47,200,0,2,5,8.92,PS_Normal,,0,-1,
5.58,200,0,2,5,8.92,PS_Normal,,0,-1,
5.69,200,0,2,5,8.92,PS_Normal,,0,-1,
5.79,200,0,2,5,8.92,PS_Normal,,0,-1,
5.9,200,0,2,5,8.92,PS_Normal,,0,-1,
6.01,200,0,2,5,8.92,PS_Normal,,0,-1,
6.11,200,0,2,5,8.92,PS_Normal,,0,-1,
6.22,200,0,2,5,8.92,PS_Normal,,0,-1,
6.35,200,0,2,5,8.92,PS_Normal,,0,-1,
6.45,200,0,2,5,8.92,PS_Normal,,0,-1,
6.56,200,0,2,5,8.92,PS_Normal,,0,-1,
6.66,200,0,2,5,8.92,PS_Normal,,0,-1,
6.76,200,0,2,5,8.92,PS_Normal,,0,-1,
6.88,200,0,2,5,8.92,PS_Normal,,0,-1,
6.98,200,0,2,5,8.92,PS_Normal,,0,-1,
7.09,200,0,2,5,8.92,PS_Normal,,0,-1,
7.2,200,0,2,5,8.92,PS_Normal,,0,-1,
7.3,200,0,2,5,8.92,PS_Normal,,0,-1,
7.4,200,0,2,5,8.92,PS_Normal,,0,-1,
7.51,200,0,2,5,8.92,PS_Normal,,0,-1,
7.61,200,0,2,5,8.92,PS_Normal,,0,-1,
7.72,200,0,2,5,8.92,PS_Normal,,0,-1,
7.85,200,0,2,5,8.92,PS_Normal,,0,-1,
7.96,200,0,2,5,8.92,PS_Normal,,0,-1,
8.06,200,0,2,5,8.92,PS_Normal,,0,-1,
8.16,200,0,2,5,8.92,PS_Normal,,0,-1,
8.27,200,0,2,5,8.92,PS_Normal,,0,-1,
8.37,200,0,2,5,8.92,PS_Normal,,0,-1,
8.48,200,0,2,5,8.92,PS_Normal,,0,-1,
8.59,200,0,2,5,8.92,PS_Normal,,0,-1,
8.7,200,0,2,5,8.92,PS_Normal,,0,-1,
8.8,200,0,2,5,8.92,PS_Normal,,0,-1,
8.91,200,0,2,5,8.92,PS_Normal,,0,-1,
9.02,200,0,2,5,8.92,PS_Normal,,0,-1,
9.13,200,0,2,5,8.92,PS_Normal,,0,-1,
9.24,200,0,2,5,8.92,PS_Normal,,0,-1,
9.38,200,0,2,5,8.92,PS_Normal,,0,-1,
9.49,200,0,2,5,8.92,PS_Normal,,0,-1,
9.59,200,0,2,5,8.92,PS_Normal,,0,-1,
9.7,200,0,2,5,8.92,PS_Normal,,0,-1,
9.8,200,0,2,5,8.92,PS_Normal,,0,-1,
9.91,200,0,2,5,8.92,PS_Normal,,0,-1,
10.02,200,0,2,5,8.92,PS_Normal,,0,-1,
10.12,200,0,2,5,8.92,PS_Normal,,0,-1,
10.23,200,0,2,5,8.92,PS_Normal,,0,-1,
10.34,200,0,2,5,8.92,PS_Normal,,0,-1,
10.45,200,0,2,5,8.92,PS_Normal,,0,-1,
10.56,200,0,2,5,8.92,PS_Normal,,0,-1,
10.66,200,0,2,5,8.92,PS_Normal,,0,-1,
10.76,200,0,2,5,8.92,PS_Normal,,0,-1,
10.9,200,0,2,5,8.92,PS_Normal,,0,-1,
11.01,200,0,2,5,8.92,PS_Normal,,0,-1,
11.12,200,0,2,5,8.92,PS_Normal,,0,-1,
11.22,200,0,2,5,8.92,PS_Normal,,0,-1,
11.33,200,0,2,5,8.92,PS_Normal,,0,-1,
11.43,200,0,2,5,8.92,PS_Normal,,0,-1,
11.53,200,0,2,5,8.92,PS_Normal,,0,-1,
11.64,200,0,2,5,8.92,PS_Normal,,0,-1,
11.75,200,0,2,5,8.92,PS_Normal,,0,-1,
11.86,200,0,2,5,8.92,PS_Normal,,0,-1,
11.97,200,0,2,5,8.92,PS_Normal,,0,-1,
12.07,200,0,2,5,8.92,PS_Normal,,0,-1,
12.18,200,0,2,5,8.92,PS_Normal,,0,-1,
12.3,200,0,2,5,8.92,PS_Normal,,0,-1,
12.43,200,0,2,5,8.92,PS_Normal,,0,-1,
12.55,200,0,2,5,8.92,PS_Normal,,0,-1,
12.65,200,0,2,5,8.92,PS_Normal,,0,-1,
12.76,200,0,2,5,8.92,PS_Normal,,0,-1,
12.86,200,0,2,5,8.92,PS_Normal,,0,-1,
12.97,200,0,2,5,8.92,PS_Normal,,0,-1,
13.07,200,0,2,5,8.92,PS_Normal,,0,-1,
13.17,200,0,2,5,8.92,PS_Normal,,0,-1,
13.28,200,0,2,5,8.92,PS_Normal,,0,-1,
13.39,200,0,2,5,8.92,PS_Normal,,0,-1,
13.49,200,0,2,5,8.92,PS_Normal,,0,-1,
13.6,200,0,2,5,8.92,PS_Normal,,0,-1,
13.71,200,0,2,5,8.92,PS_Normal,,0,-1,
13.82,200,0,2,5,8.92,PS_Normal,,0,-1,
13.95,200,0,2,5,8.92,PS_Normal,,0,-1,
14.06,200,0,2,5,8.92,PS_Normal,,0,-1,
14.16,200,0,2,5,8.92,PS_Normal,,0,-1,
14.27,200,0,2,5,8.92,PS_Normal,,0,-1,
14.38,200,0,2,5,8.92,PS_Normal,,0,-1,
14.49,200,0,2,5,8.92,PS_Normal,,0,-1,
14.6,200,0,2,5,8.92,PS_Normal,,0,-1,
