t,hp,cs,attacker,last_hit_ts,enemies_near,nearest_enemy_d,enemy_cs
0.0,200,0,,0,0,-1,
0.11,200,0,,0,0,-1,
0.21,200,0,,0,0,-1,
0.32,200,0,,0,0,-1,
0.43,200,0,,0,0,-1,
0.54,200,0,,0,0,-1,
0.65,200,0,,0,0,-1,
0.76,200,0,,0,0,-1,
0.87,200,0,,0,0,-1,
0.98,200,0,,0,0,-1,
1.08,200,0,,0,7,151,1;0;0;1
1.21,200,0,,0,7,151,1;0;0;1
1.32,200,0,,0,7,151,1;0;0;1
1.42,200,0,,0,7,151,1;0;0;1
1.53,200,0,,0,7,151,1;0;0;1
1.64,200,0,,0,7,151,1;0;0;1
1.76,200,0,,0,7,151,1;0;0;1
1.88,200,0,,0,7,151,1;0;0;1
1.99,200,0,,0,7,151,1;0;0;1
2.1,200,0,,0,7,177,1;0;0;1
2.23,200,0,,0,7,177,1;0;0;1
2.35,200,0,,0,7,177,1;0;0;1
2.45,200,0,,0,7,177,1;0;0;1
2.56,200,0,,0,7,177,1;0;0;1
2.66,200,0,,0,7,177,1;0;0;1
2.77,200,0,,0,7,177,1;0;0;1
2.88,200,0,,0,7,177,1;0;0;1
2.98,200,0,,0,7,177,1;0;0;1
3.09,200,0,,0,7,177,1;0;0;1
3.2,200,0,,0,7,127,1;0;0;1
3.34,200,0,,0,7,127,1;0;0;1
3.44,200,0,,0,7,127,1;0;0;1
3.54,200,0,,0,7,127,1;0;0;1
3.65,200,0,,0,7,127,1;0;0;1
3.75,200,0,,0,7,127,1;0;0;1
3.86,200,0,,0,7,127,1;0;0;1
3.97,200,0,,0,7,127,1;0;0;1
4.08,200,0,,0,7,127,1;0;0;1
4.19,200,0,,0,7,127,1;0;0;1
4.29,200,0,,0,7,139,1;0;0;1
4.43,200,0,,0,7,139,1;0;0;1
4.53,200,0,,0,7,139,1;0;0;1
4.64,200,0,,0,7,139,1;0;0;1
4.74,200,0,,0,7,139,1;0;0;1
4.85,200,0,,0,7,139,1;0;0;1
4.95,200,0,,0,7,139,1;0;0;1
5.06,200,0,,0,7,139,1;0;0;1
5.16,200,0,,0,7,139,1;0;0;1
5.28,200,0,,0,7,139,1;0;0;1
5.39,200,0,,0,7,138,1;0;0;1
5.51,200,0,,0,7,138,1;0;0;1
5.62,200,0,,0,7,138,1;0;0;1
5.73,200,0,,0,7,138,1;0;0;1
5.83,200,0,,0,7,138,1;0;0;1
5.95,200,0,,0,7,138,1;0;0;1
6.05,200,0,,0,7,138,1;0;0;1
6.16,200,0,,0,7,138,1;0;0;1
6.26,200,0,,0,7,138,1;0;0;1
6.36,200,0,,0,7,138,1;0;0;1
6.48,200,0,,0,7,128,1;0;0;1
6.62,200,0,,0,7,128,1;0;0;1
6.73,200,0,,0,7,128,1;0;0;1
6.84,200,0,,0,7,128,1;0;0;1
6.95,200,0,,0,7,128,1;0;0;1
7.06,200,0,,0,7,128,1;0;0;1
7.17,200,0,,0,7,128,1;0;0;1
7.28,200,0,,0,7,128,1;0;0;1
7.39,200,0,,0,7,128,1;0;0;1
7.49,200,0,,0,7,134,1;0;0;1
7.63,200,0,,0,7,134,1;0;0;1
7.73,200,0,,0,7,134,1;0;0;1
7.84,200,0,,0,7,134,1;0;0;1
7.94,200,0,,0,7,134,1;0;0;1
8.06,200,0,,0,7,134,1;0;0;1
8.17,200,0,,0,7,134,1;0;0;1
8.27,200,0,,0,7,134,1;0;0;1
8.38,200,0,,0,7,134,1;0;0;1
8.48,200,0,,0,7,134,1;0;0;1
8.59,200,0,,0,8,124,1;0;0;1
8.74,200,0,,0,8,124,1;0;0;1
8.85,200,0,,0,8,124,1;0;0;1
8.96,200,0,,0,8,124,1;0;0;1
9.07,200,0,,0,8,124,1;0;0;1
9.18,200,0,,0,8,124,1;0;0;1
9.28,200,0,,0,8,124,1;0;0;1
9.38,200,0,,0,8,124,1;0;0;1
9.48,200,0,,0,8,124,1;0;0;1
9.59,200,0,,0,8,124,1;0;0;1
